opponent,seed,board_id,repeat,swapped,seat,v2_result,v5_result,v2_turns,v5_turns
expander,93000,0,0,0,0,win,win,848,848
expander,93000,0,0,0,1,win,win,164,164
expander,93000,0,0,1,0,win,win,164,164
expander,93000,0,0,1,1,win,win,848,848
expander,93000,1,0,0,0,win,win,706,706
expander,93000,1,0,0,1,win,win,613,613
expander,93000,1,0,1,0,win,win,613,613
expander,93000,1,0,1,1,win,win,706,706
expander,93000,2,0,0,0,win,win,240,240
expander,93000,2,0,0,1,win,win,960,869
expander,93000,2,0,1,0,win,win,960,869
expander,93000,2,0,1,1,win,win,240,240
expander,93000,3,0,0,0,win,win,221,221
expander,93000,3,0,0,1,win,win,172,172
expander,93000,3,0,1,0,win,win,172,172
expander,93000,3,0,1,1,win,win,221,221
expander,93000,4,0,0,0,win,win,495,495
expander,93000,4,0,0,1,win,win,800,800
expander,93000,4,0,1,0,win,win,800,800
expander,93000,4,0,1,1,win,win,495,495
expander,93000,5,0,0,0,win,win,231,231
expander,93000,5,0,0,1,win,win,683,683
expander,93000,5,0,1,0,win,win,683,683
expander,93000,5,0,1,1,win,win,231,231
expander,93000,6,0,0,0,win,win,575,575
expander,93000,6,0,0,1,win,win,659,659
expander,93000,6,0,1,0,win,win,659,659
expander,93000,6,0,1,1,win,win,575,575
expander,93000,7,0,0,0,win,win,499,499
expander,93000,7,0,0,1,win,win,311,311
expander,93000,7,0,1,0,win,win,311,311
expander,93000,7,0,1,1,win,win,499,499
hunter,93000,0,0,0,0,loss,win,173,522
hunter,93000,0,0,0,1,win,win,220,220
hunter,93000,0,0,1,0,win,win,220,220
hunter,93000,0,0,1,1,loss,win,173,522
hunter,93000,1,0,0,0,win,win,347,347
hunter,93000,1,0,0,1,win,win,511,511
hunter,93000,1,0,1,0,win,win,511,511
hunter,93000,1,0,1,1,win,win,347,347
hunter,93000,2,0,0,0,win,win,504,504
hunter,93000,2,0,0,1,win,win,396,396
hunter,93000,2,0,1,0,win,win,396,396
hunter,93000,2,0,1,1,win,win,504,504
hunter,93000,3,0,0,0,win,win,310,310
hunter,93000,3,0,0,1,win,win,354,354
hunter,93000,3,0,1,0,win,win,354,354
hunter,93000,3,0,1,1,win,win,310,310
hunter,93000,4,0,0,0,win,win,742,742
hunter,93000,4,0,0,1,win,win,578,578
hunter,93000,4,0,1,0,win,win,578,578
hunter,93000,4,0,1,1,win,win,742,742
hunter,93000,5,0,0,0,win,win,406,406
hunter,93000,5,0,0,1,win,win,629,629
hunter,93000,5,0,1,0,win,win,629,629
hunter,93000,5,0,1,1,win,win,406,406
hunter,93000,6,0,0,0,win,win,549,549
hunter,93000,6,0,0,1,win,win,451,451
hunter,93000,6,0,1,0,win,win,451,451
hunter,93000,6,0,1,1,win,win,549,549
hunter,93000,7,0,0,0,win,win,408,469
hunter,93000,7,0,0,1,win,win,404,404
hunter,93000,7,0,1,0,win,win,404,404
hunter,93000,7,0,1,1,win,win,408,469
amin-main8-iter160,83000,0,0,0,0,win,win,383,383
amin-main8-iter160,83000,0,0,0,1,loss,loss,323,370
amin-main8-iter160,83000,0,0,1,0,loss,loss,323,370
amin-main8-iter160,83000,0,0,1,1,win,win,383,383
amin-main8-iter160,83000,1,0,0,0,win,win,135,135
amin-main8-iter160,83000,1,0,0,1,win,draw,1186,1200
