opponent,seed,board_id,repeat,swapped,seat,v6_result,v7_result,v6_turns,v7_turns
expander,93000,0,0,0,0,win,win,848,500
expander,93000,0,0,0,1,win,win,164,151
expander,93000,0,0,1,0,win,win,164,151
expander,93000,0,0,1,1,win,win,848,500
expander,93000,1,0,0,0,win,win,706,446
expander,93000,1,0,0,1,win,win,613,847
expander,93000,1,0,1,0,win,win,613,847
expander,93000,1,0,1,1,win,win,706,446
expander,93000,2,0,0,0,win,win,240,739
expander,93000,2,0,0,1,win,win,869,580
expander,93000,2,0,1,0,win,win,869,580
expander,93000,2,0,1,1,win,win,240,739
expander,93000,3,0,0,0,win,win,221,179
expander,93000,3,0,0,1,win,win,172,198
expander,93000,3,0,1,0,win,win,172,198
expander,93000,3,0,1,1,win,win,221,179
expander,93000,4,0,0,0,win,win,495,221
expander,93000,4,0,0,1,win,win,800,938
expander,93000,4,0,1,0,win,win,800,938
expander,93000,4,0,1,1,win,win,495,221
expander,93000,5,0,0,0,win,win,231,673
expander,93000,5,0,0,1,win,win,683,398
expander,93000,5,0,1,0,win,win,683,398
expander,93000,5,0,1,1,win,win,231,673
expander,93000,6,0,0,0,win,win,575,686
expander,93000,6,0,0,1,win,win,659,704
expander,93000,6,0,1,0,win,win,659,704
expander,93000,6,0,1,1,win,win,575,686
expander,93000,7,0,0,0,win,win,499,287
expander,93000,7,0,0,1,win,win,311,208
expander,93000,7,0,1,0,win,win,311,208
expander,93000,7,0,1,1,win,win,499,287
hunter,93000,0,0,0,0,win,loss,522,173
hunter,93000,0,0,0,1,win,loss,220,770
hunter,93000,0,0,1,0,win,loss,220,770
hunter,93000,0,0,1,1,win,loss,522,173
hunter,93000,1,0,0,0,win,win,347,735
hunter,93000,1,0,0,1,win,win,511,591
hunter,93000,1,0,1,0,win,win,511,591
hunter,93000,1,0,1,1,win,win,347,735
hunter,93000,2,0,0,0,win,win,504,822
hunter,93000,2,0,0,1,win,win,396,589
hunter,93000,2,0,1,0,win,win,396,589
hunter,93000,2,0,1,1,win,win,504,822
hunter,93000,3,0,0,0,win,win,310,325
hunter,93000,3,0,0,1,win,win,354,388
hunter,93000,3,0,1,0,win,win,354,388
hunter,93000,3,0,1,1,win,win,310,325
hunter,93000,4,0,0,0,win,win,742,847
hunter,93000,4,0,0,1,win,win,578,510
hunter,93000,4,0,1,0,win,win,578,510
hunter,93000,4,0,1,1,win,win,742,847
hunter,93000,5,0,0,0,win,win,406,431
hunter,93000,5,0,0,1,win,win,629,446
hunter,93000,5,0,1,0,win,win,629,446
hunter,93000,5,0,1,1,win,win,406,431
hunter,93000,6,0,0,0,win,win,549,736
hunter,93000,6,0,0,1,win,win,451,495
hunter,93000,6,0,1,0,win,win,451,495
hunter,93000,6,0,1,1,win,win,549,736
hunter,93000,7,0,0,0,win,win,469,631
hunter,93000,7,0,0,1,win,win,404,341
hunter,93000,7,0,1,0,win,win,404,341
hunter,93000,7,0,1,1,win,win,469,631
amin-main8-iter160,83000,0,0,0,0,win,loss,383,804
amin-main8-iter160,83000,0,0,0,1,loss,loss,370,595
amin-main8-iter160,83000,0,0,1,0,loss,loss,370,595
amin-main8-iter160,83000,0,0,1,1,win,loss,383,804
amin-main8-iter160,83000,1,0,0,0,win,win,135,286
amin-main8-iter160,83000,1,0,0,1,draw,loss,1200,416
amin-main8-iter160,83000,1,0,1,0,draw,loss,1200,416
amin-main8-iter160,83000,1,0,1,1,win,win,135,286
amin-main8-iter160,83000,2,0,0,0,loss,win,270,792
amin-main8-iter160,83000,2,0,0,1,win,draw,1073,1200
amin-main8-iter160,83000,2,0,1,0,win,draw,1073,1200
amin-main8-iter160,83000,2,0,1,1,loss,win,270,792
amin-main8-iter160,83000,3,0,0,0,loss,loss,118,166
amin-main8-iter160,83000,3,0,0,1,loss,loss,546,451
amin-main8-iter160,83000,3,0,1,0,loss,loss,546,451
amin-main8-iter160,83000,3,0,1,1,loss,loss,118,166
amin-main8-iter160,83000,4,0,0,0,win,win,614,511
amin-main8-iter160,83000,4,0,0,1,loss,loss,987,432
amin-main8-iter160,83000,4,0,1,0,loss,loss,987,432
amin-main8-iter160,83000,4,0,1,1,win,win,614,511
amin-main8-iter160,83000,5,0,0,0,draw,loss,1200,553
amin-main8-iter160,83000,5,0,0,1,win,draw,1200,1200
amin-main8-iter160,83000,5,0,1,0,win,draw,1200,1200
amin-main8-iter160,83000,5,0,1,1,draw,loss,1200,553
amin-main8-iter160,83000,6,0,0,0,loss,win,594,944
amin-main8-iter160,83000,6,0,0,1,draw,loss,1200,264
amin-main8-iter160,83000,6,0,1,0,draw,loss,1200,264
amin-main8-iter160,83000,6,0,1,1,loss,win,594,944
amin-main8-iter160,83000,7,0,0,0,loss,win,594,305
amin-main8-iter160,83000,7,0,0,1,win,win,86,86
amin-main8-iter160,83000,7,0,1,0,win,win,86,86
amin-main8-iter160,83000,7,0,1,1,loss,win,594,305
juraj-v3.4,83000,0,0,0,0,win,draw,1024,1200
juraj-v3.4,83000,0,0,0,1,win,loss,997,683
juraj-v3.4,83000,0,0,1,0,win,loss,1080,1048
juraj-v3.4,83000,0,0,1,1,win,loss,542,801
juraj-v3.4,83000,1,0,0,0,win,win,307,770
juraj-v3.4,83000,1,0,0,1,win,win,506,960
juraj-v3.4,83000,1,0,1,0,win,win,437,469
juraj-v3.4,83000,1,0,1,1,loss,draw,421,1200
juraj-v3.4,83000,2,0,0,0,loss,loss,493,516
juraj-v3.4,83000,2,0,0,1,win,loss,1080,570
juraj-v3.4,83000,2,0,1,0,win,loss,1009,367
juraj-v3.4,83000,2,0,1,1,loss,loss,264,825
juraj-v3.4,83000,3,0,0,0,win,win,795,836
juraj-v3.4,83000,3,0,0,1,win,draw,1130,1200
juraj-v3.4,83000,3,0,1,0,win,win,949,1022
juraj-v3.4,83000,3,0,1,1,win,win,143,143
juraj-v3.5,83000,0,0,0,0,win,draw,1051,1200
juraj-v3.5,83000,0,0,0,1,loss,loss,384,733
